# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-03 18:28:14 841225669 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137057  0.000000000  1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000996279154     0.164930  0.000000000000000 
     1     0.001000  0.000137057  0.000137248  0.001520406  0.999998844  0.000000000000000000 -30.000034675   5.275332680  30.000034675  0.000000999186080     0.165220  5.275332679687228 
     2     0.002000  0.000274305  0.000137057  0.003048587  0.999995353 -0.000000000000007105 -30.000139409   0.939271837  30.000139409  0.000000996551186     0.166143  0.939271836759287 
     3     0.003000  0.000411363  0.000137254  0.004580339  0.999989510  0.000000000000000000 -30.000314698   1.073645888  30.000314698  0.000000999553002     0.167700  1.073645887951877 
     4     0.004000  0.000548617  0.000137072  0.006120029  0.999981272 -0.000000000000014211 -30.000561837   1.272208305  30.000561837  0.000000997037653     0.169901  1.272208305155357 
     5     0.005000  0.000685689  0.000137024  0.007663441  0.999970635  0.000000000000000000 -30.000880964   1.448760533  30.000880964  0.000000996484259     0.172748  1.448760533053921 
     6     0.006000  0.000822713  0.000137113  0.009212118  0.999957568  0.000000000000014211 -30.001273028   1.686003377  30.001273028  0.000000997909188     0.176253  1.686003376822141 
     7     0.007000  0.000959826  0.000137084  0.010767634  0.999942027  0.000000000000000000 -30.001739280   1.962225494  30.001739280  0.000000997631318     0.180433  1.962225494492183 
     8     0.008000  0.001096911  0.000137197  0.012328704  0.999923999  0.000000000000028422 -30.002280214   2.249903105  30.002280214  0.000000999400383     0.185301  2.249903104920068 
     9     0.009000  0.001234107  0.000137197  0.013896972  0.999903432  0.000000000000000000 -30.002897307   2.608707458  30.002897307  0.000000999549812     0.190878  2.608707458059877 
    10     0.010000  0.001371304  0.000137092  0.015471212  0.999880314  0.000000000000000000 -30.003591021   2.979092519  30.003591021  0.000000998150766     0.197181  2.979092518961873 
    11     0.011000  0.001508396  0.000137138  0.017050235  0.999854634  0.000000000000028422 -30.004361609   3.388269903  30.004361609  0.000000998953916     0.204226  3.388269902611617 
    12     0.012000  0.001645534  0.000137085  0.018635816  0.999826338  0.000000000000028422 -30.005210762   3.898101771  30.005210762  0.000000998326075     0.212042  3.898101771301333 
    13     0.013000  0.001782619  0.000136940  0.020226858  0.999795416  0.000000000000000000 -30.006138770   4.414578615  30.006138770  0.000000996359028     0.220651  4.414578614700106 
    14     0.014000  0.001919559  0.000136960  0.021822318  0.999761865 -0.000000000000056843 -30.007145755   4.979120056  30.007145755  0.000000996778016     0.230070  4.979120055850217 
    15     0.015000  0.002056519  0.000137145  0.023424135  0.999725617  0.000000000000056843 -30.008233740   5.683555049  30.008233740  0.000000999606405     0.240338  5.683555048916440 
    16     0.016000  0.002193663  0.000137000  0.025034298  0.999686593  0.000000000000000000 -30.009405162   6.486912875  30.009405162  0.000000997640806     0.251500  6.486912874633162 
    17     0.017000  0.002330664  0.000137032  0.026648982  0.999644853  0.000000000000056843 -30.010658201   7.167451667  30.010658201  0.000000998248626     0.263561  7.167451666887467 
    18     0.018000  0.002467696  0.000136996  0.028270302  0.999600315  0.000000000000056843 -30.011995340   8.121005290  30.011995340  0.000000997859413     0.276568  8.121005290433123 
    19     0.019000  0.002604692  0.000136898  0.029897487  0.999552970  0.000000000000000000 -30.013416891   9.049954121  30.013416891  0.000000996567127     0.290549  9.049954121447184 
    20     0.020000  0.002741590  0.000136988  0.031529830  0.999502811 -0.000000000000056843 -30.014923080  10.047201500  30.014923080  0.000000998010193     0.305531 10.047201500411564 
    21     0.021000  0.002878578  0.000137022  0.033169609  0.999449737  0.000000000000000000 -30.016516975  11.304544292  30.016516975  0.000000998650692     0.321572 11.304544292290899 
    22     0.022000  0.003015600  0.000137007  0.034816213  0.999393732  0.000000000000000000 -30.018199077  12.505165453  30.018199077  0.000000998570590     0.338704 12.505165452929997 
