# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-03 18:10:01 715299825 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137178  0.000000000  1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000998036482     0.164930  0.000000000000000 
     1     0.001000  0.000137178  0.000137104  0.001521749  0.999998842  0.000000000000000000 -30.000034736   5.280741845  30.000034736  0.000000997095685     0.165221  5.280741845243753 
     2     0.002000  0.000274282  0.000137109  0.003048332  0.999995354 -0.000000000000007105 -30.000139386   0.927191146  30.000139386  0.000000997295989     0.166143  0.927191146398301 
     3     0.003000  0.000411391  0.000137192  0.004580657  0.999989509  0.000000000000000000 -30.000314741   1.083282083  30.000314741  0.000000998650968     0.167700  1.083282083174530 
     4     0.004000  0.000548583  0.000137134  0.006119651  0.999981275  0.000000000000000000 -30.000561768   1.265047986  30.000561768  0.000000997944311     0.169900  1.265047986459772 
     5     0.005000  0.000685717  0.000137160  0.007663766  0.999970633  0.000000000000000000 -30.000881038   1.457835701  30.000881038  0.000000998452410     0.172748  1.457835700543151 
     6     0.006000  0.000822877  0.000137050  0.009213975  0.999957550  0.000000000000014211 -30.001273541   1.694842155  30.001273541  0.000000996987846     0.176258  1.694842155274554 
     7     0.007000  0.000959927  0.000137030  0.010768778  0.999942015  0.000000000000000000 -30.001739650   1.943739516  30.001739650  0.000000996838698     0.180437  1.943739515874213 
     8     0.008000  0.001096957  0.000137104  0.012329231  0.999923992  0.000000000000000000 -30.002280409   2.249163089  30.002280409  0.000000998046865     0.185303  2.249163089239439 
     9     0.009000  0.001234060  0.000137054  0.013896437  0.999903440  0.000000000000000000 -30.002897084   2.600725775  30.002897084  0.000000997462714     0.190876  2.600725775474644 
    10     0.010000  0.001371114  0.000137107  0.015469027  0.999880347  0.000000000000000000 -30.003590006   2.965720865  30.003590006  0.000000998366448     0.197172  2.965720865081116 
    11     0.011000  0.001508221  0.000137047  0.017048213  0.999854669  0.000000000000000000 -30.004360574   3.413173047  30.004360574  0.000000997634224     0.204216  3.413173046569382 
    12     0.012000  0.001645268  0.000137099  0.018632737  0.999826395  0.000000000000000000 -30.005209039   3.873007520  30.005209039  0.000000998532199     0.212026  3.873007520299624 
    13     0.013000  0.001782367  0.000137050  0.020223931  0.999795475  0.000000000000000000 -30.006136994   4.436406975  30.006136994  0.000000997960780     0.220634  4.436406975354915 
    14     0.014000  0.001919418  0.000137123  0.021820665  0.999761901  0.000000000000000000 -30.007144673   5.009501594  30.007144673  0.000000999161380     0.230059  5.009501594052876 
